"id"	"brand"	"title"	"price"	"score"	"voteCnt"	"url"	"pid"	"brand_id"
"1"	"华为"	"华为nova 3（全网通） "	"2699"	"6.7"	"65"	"http://detail.zol.com.cn/cell_phone/index1185512.shtml"	"1185512"	"100"
"2"	"华为"	"华为P20 Pro（6GB RAM/全网通） "	"4488"	"8.3"	"103"	"http://detail.zol.com.cn/cell_phone/index1207038.shtml"	"1207038"	"100"
"3"	"华为"	"华为P20（全网通） "	"3388"	"8.4"	"127"	"http://detail.zol.com.cn/cell_phone/index1175779.shtml"	"1175779"	"100"
"4"	"华为"	"华为nova 3i（4GB RAM/全网通） "	"1999"	"7"	"9"	"http://detail.zol.com.cn/cell_phone/index1222100.shtml"	"1222100"	"100"
"5"	"华为"	"华为Mate 10（4GB RAM/全网通） "	"3399"	"8.3"	"125"	"http://detail.zol.com.cn/cell_phone/index1165672.shtml"	"1165672"	"100"
"6"	"华为"	"华为nova 3e（全网通） "	"1999"	"8.8"	"71"	"http://detail.zol.com.cn/cell_phone/index1207608.shtml"	"1207608"	"100"
"7"	"华为"	"华为nova 2s（4GB RAM/全网通） "	"2399"	"7.5"	"97"	"http://detail.zol.com.cn/cell_phone/index1204363.shtml"	"1204363"	"100"
"8"	"华为"	"华为Mate 10 Pro（全网通） "	"3599"	"8.7"	"92"	"http://detail.zol.com.cn/cell_phone/index1181128.shtml"	"1181128"	"100"
"9"	"华为"	"华为畅享8（3GB RAM/全网通） "	"1099"	"5.3"	"28"	"http://detail.zol.com.cn/cell_phone/index1208286.shtml"	"1208286"	"100"
"10"	"华为"	"华为P10（VTR-AL00/全网通） "	"3488"	"7.2"	"395"	"http://detail.zol.com.cn/cell_phone/index1160028.shtml"	"1160028"	"100"
"11"	"华为"	"华为畅享8 Plus（全网通） "	"1499"	"5.8"	"11"	"http://detail.zol.com.cn/cell_phone/index1210102.shtml"	"1210102"	"100"
